vacillant|Empr. au lat. vacillare  « chanceler » au sens propre et fig. 
vacillation|Empr. au lat. vacillatio  « balancement », dér. de  vacillare  . 
vaciller|Empr. au lat. vacillare  « chanceler » au sens propre et fig. 
vacant|Empr. au lat. vacans , part. prés. de  vacare  « être vide, inoccupé », v.  vaquer. 
vacarme|Empr. de l'interj. m. néerl. wacharme!  « hélas! pauvre de moi! ». 
vagabond|Empr. au b. lat. vagabundus  « vagabond, errant », dér. du lat. class.  vagāri  « aller çà et là, errer », v. aussi  vaguer . 
vacuité|Empr. au lat. vacuitas  « espace vide », « absence de quelque chose », dér. de  vacuus  « vide, inoccupé ». 
vagabonde|Empr. au b. lat. vagabundus  « vagabond, errant », dér. du lat. class.  vagāri  « aller çà et là, errer », v. aussi  vaguer . 
valériane|Empr. au lat. médiév. valeriana  , d'apr. le lat.  Valeria  « province romaine de la Pannonie », anc. région située à peu près à l'emplacement actuel de la Hongrie, où cette plante était très répandue. 
vaigre|Empr. au néerl. weger , de même sens.
vagir|Empr. au lat. class. vagire  « vagir, crier ». 
vagissant|Empr. au lat. class. vagire  « vagir, crier ». 
vaillantie|Empr. au lat. sc. Valantia  ; puis  Vaillantia  ; dér. au moy. du suff.  -ia du nom du botaniste fr. Sébastien Vaillant [1669-1722].
valétudinaire|Empr. au lat. valetudinarius  adj. et subst. « malade ». 
vague|Empr. au lat. class. vagus  « vagabond, errant » ; puis « inconsistant, flottant, indéterminé, indéfini ». 
vaguer|Empr. au lat. class. vagāri  « errer, aller çà et là » lui-même dér. de  vagus  . 
valide|Empr. au lat. validus  « bien portant ». 
valider|Empr. au b. lat. validare  « fortifier , rétablir ». 
vanité|Empr. au lat. vanitas, -atis  « état de vide, de non réalité; vaine apparence, mensonge; tromperie, fraude; frivolité, légèreté; vanité, jactance ». Les premiers ex. du sens A, sont exclusivement empr. à la lang. chrét. . 
validité|Empr. au b. lat. validitas  « force , solidité  » avec infl. sém. de  valider *. 
valine|Empr. à l'all. Valin  , forgé sur  Valerian-Säure  désignant l'acide valérianique; l'angl.  valine  est att. également en 1907 .
valise|Empr. à l'ital. valigia  « petite malle » , du lat. médiév.  valisia  , d'orig. incertaine, peut-être dér. du rad. gaul. * val-  « entourer » . 
valkyrie|Empr. à l'a. nord. valkyrja ,  cf.  le dan.  valkyrie , le suéd.  valkyria , l'all.  Walküre , de même sens. 
valse|Empr. à l'all. Walzer , att. au sens 1 a dep. 1781 , dér. de  walzen , att. au sens de « danser en tournant » dep. 1760. Au sens 2 a,  cf.  l'angl.  hesitation waltz,  att. dep. 1914 ds  NED Suppl. <sup 2</sup . 
valve|Empr. au lat. valva  « battant de porte »  avant d'être repris par le lat. sc. dans des accept. spéc. . Au  xix <sup e</sup s., sans doute sous l'infl. de  valvule *, le mot entre dans la terminol. de la mécan. . 
valvule|Empr. au lat. sc. valvula , dimin. de  valva  . Au  xix <sup e</sup s. le mot entre dans la terminol. de la mécan. . Le lat. class. ne connaît  valvula qu'au sens de « gousse », d'où 2 a. Dans la 2<sup e</sup moit. du  xviii <sup e</sup s.,  valvule  a été introd. par J.-J. Rousseau dans la terminol. de la bot. comme dimin. de  valve *. 
vamp|Empr. à l'anglo-amér. vamp , abrév. de l'angl.  vampire  corresp. au fr.  vampire *. L'angl.  vampire,  qui était empl. p. anal. pour désigner une personne se livrant au harassement et à l'exploitation des autres ou à diverses extorsions , a servi à désigner une femme usant de ses pouvoirs de séduction pour exploiter les hommes , d'où son empl. pour désigner un rôle cinématographique représentant ce type de personnage féminin  et, p. ext. une actrice propre à l'interpréter, comme  Theda Bara  dont le rôle dans le film  A Fool there was tiré de la nouv. de Rudyard Kipling  The Vamp  est peut-être à l'orig. de la propagation du terme . 
variété|Empr. au lat. varietas  « variété, diversité », propre et fig. « changement d'humeur, inconstance ». 
variole|Empr. au b. lat. méd. variola  « maladie infectieuse » , dimin. de  varius  « ayant la petite vérole » , avec infl. du lat.  varius  « varié, bigarré, tacheté, moucheté ». 
variable|Empr. au lat. variabilis  « variable, changeant ». 
vaquer|Empr. au lat. vacare  « être libre, inoccupé, vacant; être inoccupé, oisif; [+ datif, ou  in  + acc.] avoir des loisirs pour, s'occuper de ». 
variance|Empr. au lat. variantia  « variété », 2 et 3 certainement dér. de  -variant , élém. de compos. dans des termes comme  invariant *,  covariant *; suff.  -ance *.
varan|Empr. à l'ar. waran , var. de  waral  « varan » . Lat. sc.  varanus  . L'a. fr.  varain ne peut convenir ici, puisqu'il s'agit en fait non pas d'une sorte de crocodile, comme le définir  Gdf. , mais d'un loup;  cf.  R.  Arveiller ,  op. cit. , p. 87.
varangue|Empr. à l'a. nord. [  v ] rong  « pièce de bois courbe servant à renforcer la coque d'un bateau », dont la voy. était anciennement  -a- , ou dont le  -o-  a été perçu comme un  -a-  lors de l'empr. Voir  FEW  t. 17, p. 437b. 
variation|Empr. au lat. variatio  « action de varier », « sorte de figure par laquelle on change les régimes en répétant le même verbe ». 
variqueux|Empr. au lat. varicosus  « qui a des varices, variqueux ». 
varice|Empr. au lat. varix, -icis  « varice ». 
varlope|Empr. au néerl. voorloper , de même sens que le français. 
vapeur|Empr. au lat. vapor  subst. masc. « vapeur d'eau, exhalaison, fumée », dans la lang. de l'époque impériale « chaleur », au fig. « bouffées de chaleur » et « état d'excitation  », att. au sens de « vanité » chez les aut. chrét. ; en fr.  vapeur  a été fait fém. p. anal. avec les termes en  -eur *. Pour désigner les nouv. machines utilisant la force motrice de la vapeur d'eau, il y eut fin  xviii <sup e</sup -déb.  xix <sup e</sup s. une période d'hésitation pendant laquelle coexistèrent des périphrases , le type à feu  , et le syntagme  à vapeur  qui devait l'emporter ;  à vapeur  corresp. aux dénom. angl. dans lesquelles  steam  « vapeur » entre en compos. avec le nom de l'engin:  steamengine  1751  pour désigner un engin mû par la vapeur, 1815 au sens de « locomotive »,  steamboat  dep. 1787 ,  cf. steamcarriage  rendu par « chariot à vapeur » 1815 et  steamhorse  par « cheval de vapeur » 1821 . 
vare|Empr. à l'esp. vara , att. comme nom d'une mesure de longueur dep. le  xiv <sup e</sup s. , d'abord « baguette; bâton » dep. 1250 , du lat. d'époque impériale  vara  « traverse de bois » . 
varié|Empr. au lat. variatus  « nuancé », part. passé adj. de  variare  . 
vaporeux|Empr. au lat. vaporosus  « plein de vapeurs ». 
varier|Empr. au lat. variare  « varier, diversifier, nuancer », fig. « mettre de la variété dans le style », intrans. « être varié, différer ». 
varve|Empr. au suéd. varv  « couche ».
vase|Empr. au lat. vas, vasis , att. au sens 2 a; 1 a empr. au lat. chrét.  vas electionis  . On trouve plus anciennement  vaissel d'election  .  Cf.  aussi  vasses  plur. « récipient » ). 
vasque|Empr. à l'ital. vasca , att. au sens 1 dep. la 1<sup re</sup moit. du  xvi <sup e</sup s. , issu du lat. pop.  vascula , encore vivant dans les dial. d'Italie du Sud dans la terminol. de la vitic., fém. tiré au plur. neutre du lat.  vasculum  « petit récipient » . 
vaticinant|Empr. au lat. vaticinari  « prophétiser », dér. de  vates  « devin, prophète ». 
vecteur|Empr. au lat. vectŏr, -ōris  « celui qui transporte », dér. de  vehĕre  « transporter, porter ». Pour le sens B le terme a été introd. par l'intermédiaire de l'angl.  vector  utilisé en math.  d'apr. son usage en astron. . 
vaticinateur|Empr. au lat. vaticinator  « devin, prophète », dér. de  vaticinari  .
vaticination|Empr. au lat. vaticinatio  « action de prédire l'avenir », « oracle, prophétie », dér. de  vaticinari  . 
vaticinatrice|Empr. au lat. vaticinator  « devin, prophète », dér. de  vaticinari  .
vaudou|Empr. à vodu , mot d'une lang. d'Afrique Occidentale . 
vaticiner|Empr. au lat. vaticinari  « prophétiser », dér. de  vates  « devin, prophète ». 
vaste|Empr. au lat. vastus  « vide, désert »; « désolé, dévasté »; « prodigieusement grand », qui influencé par l'a. b. frq.  *wōst a donné en a. fr. l'adj.  gast  « désert, inculte ». 
veda|Empr. au skr. veda  « connaissance, science », en partic. « science sacrée, textes sacrés, Saintes Écritures, Veda », dér. de la racine  vid  « savoir, connaître, comprendre, apprendre », apparentée au lat.  videre  « voir », à l'all.  wissen  « savoir », etc. La forme  Bet  représente un empr. à une lang. mod. de l'Inde . 
véda|Empr. au skr. veda  « connaissance, science », en partic. « science sacrée, textes sacrés, Saintes Écritures, Veda », dér. de la racine  vid  « savoir, connaître, comprendre, apprendre », apparentée au lat.  videre  « voir », à l'all.  wissen  « savoir », etc. La forme  Bet  représente un empr. à une lang. mod. de l'Inde . 
vedanta|Empr. au skr. vedânta , propr. « fin du Veda », comp. de  Veda  et de  anta  « fin ».
vedette|Empr. à l'ital. vedetta , att. au sens 1 dep. déb.  xvi <sup e</sup s. , altér., sous l'infl. de  vedere  « voir », de  veletta  « lieu de guet élevé » , d'orig. incertaine. Un dér. dimin. de  vela  « voile »  fait difficulté parce que  veletta  « petite voile au sommet du mât principal d'un navire, à la hune, où se tient un marin dont le rôle est de surveiller l'horizon » n'est pas att. av. 1880. Un empr. à l'esp.  veleta  « gonfanon » , « girouette »  n'est pas non plus satisfaisant parce que le sens originel du mot ital. appartient au domaine de la mar. et que l'esp.  veleta  est lui-même d'orig. controversée. Voir  FEW  t. 14, pp. 223b-224; G.  Colón  ds  Z. rom. Philol.  t. 78, pp. 92-94;  Cor. - Pasc. ,  s.v. veleta. 
vélaire|Empr. au lat. sc. velaris , dér. de  velum « voile  » .
vélanède|Empr. au gr. mod. β ε λ α ν ι ́ δ ι « gland » , β α λ α ν ι ́ δ ι même sens  et β α λ α ν ι δ ι α ́ « chêne »  d'où le lat. médiév. valanidia  ; du gr. class. β α ́ λ α ν ο ς « gland; chêne » . La forme  avelanède  est prob. due à une confusion avec le mot prov.  avelanedo  « coudraie » .
véhémence|Empr. au lat. d'époque impériale vehementia  « véhémence d'un orateur; force, intensité  », dér. de  vehemens , v.  véhément . 
végétal|Empr. au lat. médiév. vegetalis  , dér. de  vegetare  . 
véhément|Empr. au lat. class. vehemens  « emporté, impétueux; violent, intense ». 
véhicule|Empr. au lat. class. vĕhĭcŭlum  « moyen de transport, voiture, chariot » . 
vehme|Empr. à l'all. Feme, Femgericht  « tribunal secret », d'orig. incertaine . 
velche|Empr. à l'all. welsch , nom donné par les Allemands aux Espagnols, aux Italiens et aux Français, et par les Suisses de lang. aléman. aux Suisses romands;  welsch  remonte au m. h. all.  wälhisch , dér. de  Walch , a. h. all.  Walh  « Roman », de la famille du germ.  *Walhoz  « Celtes », empr. au lat.  Volcae , nom d'une peuplade celte voisine des Romains. V. aussi  wallon. 
veld|Empr. à l'afrikaans veld , de même sens, propr. « champ ».
végétarien|Empr. à l'angl. vegetarian , subst. att. dep. 1839  et adj. dep. 1849  dér de  vegetable  « plante, légume » par substitution de la finale  -arian  de noms de sectes, écoles théol. ou mor. comme  Millenarian, Predestinarian , ou  Unitarian  . 
veillaque|Empr. à l'ital. vigliacco  « vil, digne du plus grand mépris » , lui-même empr.  à l'esp.  bellaco  « coquin, méchant », att. dep. la 1<sup re</sup moit. du  xiii <sup e</sup s. , prob. dér. de  vello  « duvet », du lat.  villus  « poil ». Voir L.  Spitzer  ds  R. Filol. esp.  t. 12, pp. 230-232 et  FEW  t. 14, p. 458. 
végétarienne|Empr. à l'angl. vegetarian , subst. att. dep. 1839  et adj. dep. 1849  dér de  vegetable  « plante, légume » par substitution de la finale  -arian  de noms de sectes, écoles théol. ou mor. comme  Millenarian, Predestinarian , ou  Unitarian  . 
végétatif|Empr. au lat. médiév. vegetativus  « qui fait végéter » , dér. de  vegetare , v.  végéter . 
végétation|Empr. au lat. médiév. vegetatio  « action de croître  », spécialisation du lat. class. « mouvement, excitation », dér. de  vegetare  . 
veinule|Empr. au lat. d'époque impériale venula  «  id.  », dimin. de  vena , v.  veine . 
végéter|Empr. au lat. tardif vegetare  « animer, vivifier, faire croître », « fortifier, vivifier  », « vivre, grandir  » ; dér. de  vegetus  « bien vivant, vif, dispos », dér. de  vegere  « être vif ». 
velvet|Empr. à l'angl. velvet  désignant le velours de soie et empl. en fr. pour désigner le velours de coton imitant le velours de soie. Att. dep. le  xiv <sup e</sup s. mais d'abord représenté par le lat. médiév. du domaine angl.  velvetum  , l'angl.  velvet  est prob. le résultat d'un empr. à l'a. fr. selon une forme suffixée en  -et  corresp. aux formes att. telles que p. ex.  veluau  « velours » ,  velvel ou  velvot dér. de  velu * avec confusion de  u  et  v  à la lecture .
velléité|Empr. au lat. scolast. velleitas  « velléité » , dér. au moy. du suff.  -itas de  velle- , rad. des formes de l'imp. du subj.  du verbe  velle  « vouloir ». 
venaison|Empr. au lat. venatio, -onis  « chasse; produit de la chasse, gibier ». 
velte|Empr. au néerl. viertel  ou à l'all.  Viertel  « quart  ». Voir  FEW ,  loc. cit . 
ventral|Empr. au lat. ventralis  « de ventre, du ventre ». 
ventilateur|Empr. à l'angl. ventilator , nom que donna à son invention S. Hales en 1743, calque du lat.  ventilator  « vanneur » . 
ventiler|Empr. au lat. ventilare  « agiter à l'air », « éventer, donner de l'air, de la fraîcheur à », en lat. jur. « discuter, débattre, examiner une question ». 
ventouse|Empr. au lat. méd. de basse époque ventosa , abrév. de  ventosa cucurbita  , littéral. « courge pleine de vent ».
verbeux|Empr. au lat. verbosus  «  id.  », dér. de  verbum  . 
ventriloque|Empr. au b. lat. ventriloquus  « qui parle du ventre ». 
verbosité|Empr. au b. lat. verbositas, -atis  « bavardage; discours verbeux » dér. de  verbosus  .
verbal|Empr. au b. lat. gramm. verbalis  « dérivé d'un verbe »  iv <sup e</sup s. ds  Gaff ., et « de paroles » fin  v <sup e</sup s.,  ibid. , dér. de  verbum  . 
verbe|Empr. au lat. verbum, -i  « mot », « parole », également att. comme terme de gramm., trad. du gr. ρ ̔ η ̃ μ α propr. « parole », « verbe » p. oppos. à ο ́ ν ο μ α « nom »; aux sens 2 et 3 empr. au lat. eccl.  verbum  de mêmes sens , le dernier sens étant repris au gr. λ ο ́ γ ο ς « verbe divin », « raison divine ». 
verdict|Empr. à l'angl. verdit, verdict  « décision d'un jury appelé à juger d'un cas relevant de la jurisprudence civile ou criminelle »  d'où, p. ext. « décision d'un corps ou d'une autorité amenée à prononcer un jugement » et « décision, avis donné sur un sujet quelconque » . L'angl.  verdit , empr. à l'anglo-norm.  verdit a été refait sous la forme  verdict  d'après le lat. médiév.  verdictum , var. de  verumdictum, veredictum  « procédure d'établissement d'une sentence, déclaration solennelle, verdict d'un jury » . 
vergobret|Empr. au lat. de César vergobretus  « premier magistrat des Éduens », mot celt., comp. de  vergo-  « efficace, qui accomplit »  et de breto-irl.  breth  « jugement », v.  Dottin , p. 66 et p. 124.
vermicelle|Empr. à l'ital. vermicelli  « pâtes en forme de longs fils très minces » , plur. de  vermicello , propr. « petit ver », dér. dimin. de  verme  « ver », du lat.  vermis  «  id.  ». Voir  FEW  t. 14, pp. 296b-297a. 
vermicule|Empr. au lat. vermiculus  « petit ver, vermisseau », dimin. de  vermis  « ver ». Au sens 1 b,  cf.  lat. sc.  vermiculum  . 
vermiculé|Empr. au lat. vermiculatus « en forme de ver ; vermiculé  », lat. médiév., comme terme d'orfèvr. . 
vernal|Empr. au lat. vernalis  « relatif au printemps », dér. de  vernus  « printanier », lui-même dér. de  ver, veris  « le printemps ».
vernation|Empr. au lat. des botanistes vernatio  « disposition des feuilles dans le bourgeon, avant leur développement » , lat. class  vernatio  « mue  au printemps; mue en général », dér. de  vernus  « printanier » .  Vernation  est att. en angl. dès 1793 .
verrucaire|Empr. au lat.  verrucaria  « herbe qui guérit les verrues ».
verruqueux|Empr. au lat. verrucosus  « qui a une verrue », dér. de  verruca  . 
vermination|Empr. au lat. verminatio  « maladie des vers », dér. de  verminare  « avoir des vers ».
versatile|Empr. au lat. versatilis  « mobile, qui tourne aisément » et fig. « flexible, qui se plie à tout » . 
vermouth|Empr. à l'all. Wermut  « absinthe » , « vermouth », d'orig. obscure. 
vertige|Empr. au lat. vertigo  « mouvement de rotation, tournoiement », « vertige, étourdissement, éblouissement » de  vertere  « tourner », « retourner, renverser », « changer, convertir, transformer ». 
vertigineux|Empr. au lat. vertiginosus  « sujet aux vertiges, aux étourdissements ». 
versicolore|Empr. au lat. versicolor  « qui a des couleurs changeantes » . 
vertèbre|Empr. au lat. vertebra  « articulation; vertèbre ». 
versifiant|Empr. au lat. versificare  « écrire en vers, tourner en vers ». 
