yod|Empr. à l'hébr. yōdh , nom de la dixième lettre de l'alphabet hébr., corresp. à la semi-voy. [j]. 
yachmak|Empr. au turc yas????mak  « voile dont les femmes turques se couvraient le bas du visage ».
yourte|Empr. au russe jort  « habitation »,  jorta  chez les Bachkirs, a. russe  jurt  « clan, domaine » 1447 ds  Vasmer , empr. au turco-tartare, v.  Vasmer . 
yacht|Empr. d'abord, et pour désigner un navire de guerre, au néerl. jacht , att. dep. 1528 comme terme désignant un navire rapide, emploi p. méton. du mot  jacht  « chasse, poursuite, vitesse » , puis empl. d'apr. l'angl.  yacht  , issu aussi du mot néerl., att. dep. 1557 et qui servit à désigner des bateaux rapides servant aux voyages du souverain ou d'autres personnages importants puis fut réservé aux bateaux d'usage non commercial ou non militaire, notamment les bateaux de plaisance construits pour la course . 
youtre|Empr. à l'all. Jude  « juif », prob. par l'intermédiaire des dial. de l'est de la France . 
yeoman|Empr. à l'angl. yeoman, yeman  prob. issu, par contraction, d'une forme du vieil angl. qui est à l'orig. de  youngman  « jeune homme, page » et désignant en m. angl. un serviteur ou un domestique de rang assez élevé dans une maison royale ou une famille de haute noblesse, d'où son emploi dans des syntagmes se référant à sa fonction, comme  Yeoman of the Guard  où il désigne un membre de la garde royale constituée en 1485 à l'avènement de Henri VII, ou son emploi dans la mar. pour désigner un officier subalterne chargé d'un secteur de l'approvisionnement et pour désigner un homme n'appartenant pas à la noblesse, mais dont la condition de propriétaire terrien lui donnait droit à un certain rang . 
yachting|Empr. à l'angl. yachting  , dér. de  yacht  ou du verbe  to yacht  « pratiquer la navigation de plaisance ». 
yoghourt|Empr. au turc yoghourt , dont la var.  yoourt  explique la forme  yaourt  adaptée par l'angl. .
youyou|Empr. au dial. chinois Min  youyou  « petit canot à godille », formé par redoublement du mot corresp. au chinois commun  yáo  « godiller » . 
yachtman|Empr. à l'angl. yachtman, yachtsman, yachtswoman  , comp. de  man  « homme », fém.  woman  « femme », et de  yacht . 
yeshiva|Empr. à l'hébr. mishnaïque y <sup  e </sup  shībhā <sup  h </sup , plur.  y <sup  e </sup  shībhōth  « posture assise; assiduité; résidence; séance, session; haute école talmudique », dér. du verbe  yāshabh  « s'asseoir, être assis ». En angl.,  yeshibah  est att. dep. 1851,  yeshiva  dep. 1904 .
yack|Empr. peut-être par l'intermédiaire de l'angl. yak  «  id.  », 1795 ds  NED Suppl. <sup 2</sup , au tibétain  gyak  «  id.  »,  cf. König , p. 213. 
yeuse|Empr. au prov. euze  subst. masc. , issu du lat.  elex  , forme osco-ombrienne du lat.  ilex, -icis  fém. « yeuse ». 
yak|Empr. peut-être par l'intermédiaire de l'angl. yak  «  id.  », 1795 ds  NED Suppl. <sup 2</sup , au tibétain  gyak  «  id.  »,  cf. König , p. 213. 
yogourt|Empr. au turc yoghourt , dont la var.  yoourt  explique la forme  yaourt  adaptée par l'angl. .
yankee|Empr. à l'anglo-amér. Yankee , d'abord sobriquet des colons de la Nouvelle-Angleterre att. dep. 1758  et qui, empl. par les Anglais au cours de la guerre d'indépendance pour désigner les colons amér. en gén., a désigné tout habitant des États-Unis  tout en gardant dans l'usage des habitants du Sud des États-Unis le sens de « Américain du Nord des États-Unis » , ce qui explique son emploi au cours de la guerre de Sécession pour désigner les Nordistes .  Yankee  est att. en appos. ou empl. adj. dep. 1772  et comme subst. désignant le parler angl. propre aux Américains dep. 1825 . L'orig. du terme est inconnue: empl. comme surnom de pers. dans des attest. dont la plus anc. date de 1683 et où il est question de Hollandais, on a supposé que  Yankey, Yankee  était issu du néerl.  Janke , dimin. de  Jan  « Jean », mais dès 1775 on lui prêta des orig. indiennes dont aucune n'a pu être établie . 
yaourt|Empr. au turc yoghourt , dont la var.  yoourt  explique la forme  yaourt  adaptée par l'angl. .
yole|Empr. au néerl. jol  ou au dan.  jolle , de même sens que le fr. 
yard|Empr. à l'angl. yard  att. dep. 1377 ds  NED  comme terme désignant une mesure de longueur de trois pieds ou trente-six pouces anglais et issu du vieil angl. ʒ ierd, ʒ yrd, ʒ ird  « baguette, bâton mince et droit » d'où « bâton, canne servant à mesurer ». 
yatagan|Empr. au turc yataǧan  même sens,  cf. ataghan . 
yawl|Empr. à l'angl. yawl  désignant une sorte de yole à rames  et un petit voilier à tape-cul , empr. au m. b. all.  jolle  ou au néerl.  jole , v.  yole  étymol. 
yearling|Empr. à l'angl. yearling , dér. de  year  « année », att. dep. 1465 et désignant un être vivant, le plus souvent un animal, âgé d'un an ou dans sa deuxième année . 
